title,release_year,decade,primary_genre,budget_tier,budget,revenue,roi,imdb_rating,tomatometer_rating,audience_rating
The Flintstones,1994,1990s,Fantasy,Blockbuster,46000000.0,341631208.0,642.6765391304348,5.1,22.0,24.0
Forrest Gump,1994,1990s,Comedy,Blockbuster,55000000.0,677945399.0,1132.6279981818182,8.8,71.0,95.0
Four Weddings and a Funeral,1994,1990s,Comedy,Low,6000000.0,254700832.0,4145.013866666667,7.1,96.0,74.0
I Love Trouble,1994,1990s,Action,Blockbuster,45000000.0,61947267.0,37.66059333333333,5.4,22.0,33.0
The Lion King,1994,1990s,Family,Blockbuster,45000000.0,788241776.0,1651.648391111111,8.5,93.0,93.0
Little Buddha,1993,1990s,Drama,High,35000000.0,4858139.0,-86.11960285714285,6.2,68.0,53.0
New Nightmare,1994,1990s,Horror,Mid,14000000.0,18090181.0,29.21557857142857,6.4,,
The Mask,1994,1990s,Romance,High,23000000.0,351583407.0,1428.6235086956522,7.0,77.0,68.0
The Naked Gun 33⅓: The Final Insult,1994,1990s,Comedy,High,30000000.0,51132598.0,70.44199333333333,6.5,,
Reality Bites,1994,1990s,Drama,Mid,11500000.0,20079850.0,74.60739130434783,6.6,66.0,74.0
Red Rock West,1993,1990s,Crime,Mid,8000000.0,2000000.0,-75.0,7.0,95.0,75.0
Speed,1994,1990s,Action,High,30000000.0,350448145.0,1068.160483333333,7.3,94.0,76.0
Timecop,1994,1990s,Thriller,High,27000000.0,101646581.0,276.4688185185185,6.0,45.0,36.0
True Lies,1994,1990s,Action,Blockbuster,115000000.0,378882411.0,229.46296608695653,7.3,,
Wyatt Earp,1994,1990s,Drama,Blockbuster,63000000.0,25052000.0,-60.23492063492063,6.7,44.0,61.0
A Low Down Dirty Shame,1994,1990s,Action,Mid,10000000.0,29392418.0,193.92418,5.9,0.0,71.0
Jason's Lyric,1994,1990s,Crime,Mid,7000000.0,20851521.0,197.87887142857144,6.6,61.0,91.0
Street Fighter,1994,1990s,Action,High,35000000.0,99423521.0,184.0672028571429,4.1,10.0,20.0
Highlander: The Final Dimension,1994,1990s,Action,High,26000000.0,36800000.0,41.53846153846154,4.5,,
In the Mouth of Madness,1994,1990s,Horror,Mid,8000000.0,8946600.0,11.8325,7.1,59.0,73.0
The Age of Innocence,1993,1990s,Drama,High,34000000.0,32255440.0,-5.131058823529411,7.2,84.0,75.0
The Air Up There,1994,1990s,Comedy,High,17080000.0,21011500.0,23.018149882903984,5.6,21.0,35.0
Beverly Hills Cop III,1994,1990s,Action,Blockbuster,50000000.0,119208989.0,138.417978,5.5,9.0,35.0
Body Snatchers,1993,1990s,Horror,Mid,13000000.0,428868.0,-96.7010153846154,6.0,69.0,38.0
A Bronx Tale,1993,1990s,Drama,High,22000000.0,17287898.0,-21.41864545454545,7.8,97.0,93.0
Calendar Girl,1993,1990s,Drama,Mid,13000000.0,2570145.0,-80.22965384615385,5.2,11.0,31.0
Carlito's Way,1993,1990s,Action,High,30000000.0,36516012.0,21.72004,7.9,81.0,91.0
Cliffhanger,1993,1990s,Action,Blockbuster,70000000.0,255000211.0,264.2860157142857,6.5,69.0,52.0
Color of Night,1994,1990s,Drama,High,40000000.0,19726050.0,-50.684875,5.2,22.0,30.0
Dazed and Confused,1993,1990s,Comedy,Mid,6900000.0,7993039.0,15.841144927536233,7.6,92.0,90.0
Demolition Man,1993,1990s,Crime,Blockbuster,57000000.0,159055768.0,179.04520701754385,6.7,60.0,66.0
For Love or Money,1993,1990s,Comedy,High,30000000.0,11146270.0,-62.84576666666667,6.2,37.0,45.0
The Firm,1993,1990s,Drama,Blockbuster,42000000.0,270248367.0,543.4484928571429,6.9,75.0,64.0
Free Willy,1993,1990s,Family,High,20000000.0,153698625.0,668.493125,6.1,68.0,50.0
The Fugitive,1993,1990s,Adventure,Blockbuster,44000000.0,368875760.0,738.354,7.8,86.0,61.0
Geronimo: An American Legend,1993,1990s,History,High,35000000.0,18635620.0,-46.75537142857143,6.6,,
Hard Target,1993,1990s,Action,High,18000000.0,74189677.0,312.1648722222222,6.2,57.0,49.0
Hot Shots! Part Deux,1993,1990s,Action,High,25000000.0,133752825.0,435.0113,6.6,57.0,63.0
In the Line of Fire,1993,1990s,Action,High,40000000.0,176997168.0,342.49292,7.2,96.0,79.0
In the Name of the Father,1993,1990s,Drama,Mid,13000000.0,65796862.0,406.1297076923077,8.1,94.0,95.0
Jurassic Park,1993,1990s,Adventure,Blockbuster,63000000.0,920100000.0,1360.4761904761904,8.2,91.0,91.0
Kalifornia,1993,1990s,Thriller,Mid,9000000.0,2395231.0,-73.38632222222222,6.7,59.0,64.0
Killing Zoe,1993,1990s,Action,Low,1500000.0,418961.0,-72.06926666666666,6.4,36.0,64.0
Last Action Hero,1993,1990s,Adventure,Blockbuster,85000000.0,137298489.0,61.527634117647054,6.5,38.0,47.0
Manhattan Murder Mystery,1993,1990s,Comedy,Mid,13500000.0,11285588.0,-16.403051851851853,7.3,93.0,84.0
Menace II Society,1993,1990s,Drama,Low,3500000.0,27900000.0,697.1428571428571,7.5,84.0,93.0
